ID;OBJECTTYPE;SPOORTAK_IDENTIFICATIE;GEOCODE_BEGIN;SUBCODE_BEGIN;NAAM_GEOCODE_BEGIN;KM_BEGIN;NR_BEGIN;KANTCODE_BEGIN;GEOCODE_EIND;SUBCODE_EIND;NAAM_GEOCODE_EIND;KM_EIND;NR_EIND;KANTCODE_EIND;NR_SUB;LENGTE;OBEGINTIJD;BEHEERDER;LENGTE_GEOM
132315;spoortak;127_463L_73.1;127;a;Roosendaal - Vlissingen;73,124;463;LE;127;a;Roosendaal - Vlissingen;73,654;475B;R;;0,515;2011-11-30;ProRail;0,514560
132316;spoortak;127_483R_73.9;127;a;Roosendaal - Vlissingen;73,889;483;R;127;a;Roosendaal - Vlissingen;73,786;503;R;;0,103;2011-11-30;ProRail;0,103107
132317;spoortak;127_479BV_73.8;127;a;Roosendaal - Vlissingen;73,839;479B;V;127;a;Roosendaal - Vlissingen;73,889;483;L;;0,050;2011-11-30;ProRail;0,049545
132518;spoortak;031_235V_17.2;031;a;Zutphen - Hengelo;17,197;235;V;031;a;Zutphen - Hengelo;24,119;245;V;;6,928;2011-11-30;ProRail;6,927846
132519;spoortak;054_1305AR_47.0;054;a;Boxtel - Eindhoven;47,014;1305A;R;054;a;Boxtel - Eindhoven;47,162;1305B;R;;0,148;2013-11-04;ProRail;0,147921
132520;spoortak;603_83L_2.5;603;a;Zwolle;2,491;83;LE;603;a;Zwolle;2,582;93;V;;0,072;2011-11-30;ProRail;0,072361
132521;spoortak;603_83R_2.5;603;a;Zwolle;2,491;83;RE;603;a;Zwolle;2,529;85;V;;0,021;2011-11-30;ProRail;0,020969
132522;spoortak;603_81BqV_2.5;603;a;Zwolle;2,524;81B;L+R;603;a;Zwolle;2,491;83;L+R;q;0,031;2011-11-30;ProRail;0,031496
132523;spoortak;534_1037AR_45.1;534;b;Leiden Centraal;45,132;1037A;R;534;b;Leiden Centraal;45,241;1037B;R;;0,110;2011-11-30;ProRail;0,109939
132524;spoortak;534_1037AL_45.1;534;b;Leiden Centraal;45,132;1037A;L;534;b;Leiden Centraal;45,513;1053A;V;;0,382;2011-11-30;ProRail;0,382295
132525;spoortak;534_1033BV_45.2;534;b;Leiden Centraal;45,200;1033B;V;534;b;Leiden Centraal;45,513;1051A;V;;0,314;2011-11-30;ProRail;0,314139
132526;spoortak;519_85AR_47.0;519;a;Roermond;47,014;85A;RE;519;a;Roermond;47,217;93B;L;;0,186;2011-11-30;ProRail;0,186011
132527;spoortak;520_59R_0.1;520;a;Maastricht;0,132;59;R;520;a;Maastricht;0,167;63;V;;0,037;2011-11-30;ProRail;0,036875
132720;spoortak;017_33V_62.2;017;;Amersfoort Aansl. - Hattemerbroek;62,158;33;V;017;;Amersfoort Aansl. - Hattemerbroek;69,591;43B;L;;7,436;2011-11-30;ProRail;7,436356
132721;spoortak;603_77AL_2.4;603;a;Zwolle;2,425;77A;L;603;a;Zwolle;2,532;SJ_77AL;V;;0,109;2011-11-30;ProRail;0,109305
132722;spoortak;206_121R_17.7;206;;Zwolle - Wierden;17,732;121;R;206;;Zwolle - Wierden;18,181;123;L;;0,449;2011-11-30;ProRail;0,448619
132723;spoortak;206_121L_17.7;206;;Zwolle - Wierden;17,732;121;L;206;;Zwolle - Wierden;18,181;123;R;;0,449;2011-11-30;ProRail;0,449070
132724;spoortak;543_173AL_45.3;543;c;Hengelo;45,272;173A;LE;543;c;Hengelo;45,343;173B;LE;;0,040;2011-11-30;ProRail;0,040291
132725;spoortak;609_135BV_26.5;609;;Zutphen;26,450;135B;V;610;;Dieren;14,583;141B;LE;;11,913;2011-11-30;ProRail;11,913148
