ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG
2167988;667_2427V_243.8;Onbenoemd;S;1,621;1,683;2013-11-26;;
2167989;667_2427V_243.8;Onbenoemd;S;0,444;0,509;2013-11-26;;
2167990;127_391BV_48.6;Onbenoemd;S;0,768;0,862;2013-11-26;;
2167991;127_391BV_48.6;Onbenoemd;S;0,000;0,078;2013-11-26;;
2168084;529_3645V_23.0;Onbenoemd;S;1,509;2,183;2013-11-26;;
2168085;529_3645V_23.0;Onbenoemd;S;0,612;0,863;2013-11-26;;
2168086;529_3645V_23.0;Onbenoemd;S;0,000;0,142;2013-11-26;;
2168087;503_101AL_43.7;Onbenoemd;S;0,028;0,036;2013-11-26;;
2168088;611_47AR_106.3;Onbenoemd;S;0,048;0,168;2013-11-26;;
2168089;531_1305BV_34.7;Onbenoemd;S;0,000;0,100;2013-11-26;;
2168090;527_109AR_17.4;Onbenoemd;S;0,376;0,619;2013-11-26;;
2168091;527_109AR_17.4;Onbenoemd;S;0,016;0,089;2013-11-26;;
2168092;926_2015R_1.5;Onbekend;S;0,498;0,499;2013-11-26;;
2168094;917_970R_78.6;Onbenoemd;S;0,029;0,062;2013-11-26;;
2168096;105_91BV_23.1;Onbenoemd;S;0,000;0,029;2013-11-26;;
2168097;550_985V_25.6;Onbenoemd;S;0,016;0,022;2013-11-26;;
2168098;606_922V_0.7;Onbenoemd;S;0,000;0,006;2013-11-26;;
2168099;624_221BR_32.9;Onbenoemd;S;0,029;0,037;2013-11-26;;
2168100;924_3555L_35.5;Onbenoemd;S;0,929;0,964;2013-11-26;;
2168101;924_3555L_35.5;Onbenoemd;S;0,016;0,059;2013-11-26;;
2168102;624_159AL_32.0;Onbenoemd;S;0,465;0,465;2013-11-26;;
2168103;624_159AL_32.0;Onbenoemd;S;0,417;0,448;2013-11-26;;
2168104;624_159AL_32.0;Onbenoemd;S;0,028;0,121;2013-11-26;;
2168105;805_7109L_102.7;Onbenoemd;S;0,028;0,214;2013-11-26;;
2168106;026_253AR_26.9;Onbenoemd;S;0,016;0,025;2013-11-26;;
2168107;613_175BV_75.4;Onbenoemd;S;0,000;0,328;2013-11-26;;
