ID;SPOORTAK_IDENTIFICATIE;GEOCODE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
26432619;105_113V_24.5;105__;0,000000;4,607000;2015-06-04
26436509;546_1053V_13.9;032__;0,082000;1,883000;2015-06-04
26440412;550_936V_25.8;550__;0,000000;0,087000;2015-06-04
26442557;586_151BqV_80.8;586__;0,000000;0,031000;2015-06-04
26433086;108_169AR_74.9;108__;0,000000;0,012000;2015-06-04
26441668;924_2351V_35.5;924_a;0,000000;0,324000;2015-06-04
26435702;485_123AL_201.7;485_f;0,000000;0,266000;2015-06-04
26434004;534_1095AL_45.9;534_b;0,000000;0,489000;2015-06-04
26440291;517_157BR_70.0;517_b;0,002000;0,062000;2015-06-04
26437837;950_15L_6.4;950_a;0,000000;0,635000;2015-06-04
26437204;608_21BV_87.7;608_b;0,000000;0,029000;2015-06-04
26441005;129_12L_29.9;129__;0,000000;0,064000;2015-06-04
26439079;518_103AL_63.2;518__;0,000000;0,134000;2015-06-04
26446204;940_361AR_43.1;940__;0,000000;0,078000;2015-06-04
26433963;606_81AL_0.6;606_a;0,000000;0,064000;2015-06-04
26439243;502_905R_100.9;502_b;0,000000;0,241000;2015-06-04
26435050;917_982AqV_78.2;917__;0,000000;0,034000;2015-06-04
26434033;851_13R_100.1;433__;0,024000;0,450000;2015-06-04
26440622;950_273BV_13.9;950_a;0,000000;1,436000;2015-06-04
26433733;055_413BV_29.6;055__;0,000000;7,783000;2015-06-04
26437689;507_231AR_93.6;507_b;0,000000;0,069000;2015-06-04
26432660;617_1155AR_39.3;617_a;0,000000;0,194000;2015-06-04
26438264;536_297AR_61.4;536__;0,000000;0,106000;2015-06-04
26438104;536_307AR_61.4;536__;0,000000;0,061000;2015-06-04
26440279;908_79AR_25.4;087__;0,395000;0,437000;2015-06-04
26432800;115_123AL_22.4;115_a;0,000000;1,167000;2015-06-04
26431699;542_1261BpV_29.9;542_a;0,000000;0,034000;2015-06-04
26437524;526_433AL_3.4;526_a;0,000000;0,034000;2015-06-04
26442144;133_1063AR_13.8;133__;0,000000;0,103000;2015-06-04
26432523;550_91L_25.8;550__;0,000000;0,041000;2015-06-04
26439486;544_1107V_1.0;544_a;0,000000;0,085000;2015-06-04
26442190;002_347AR_50.6;002__;0,000000;0,797000;2015-06-04
26431392;517_81R_69.4;517_b;0,000000;0,036000;2015-06-04
26437062;588_829L_1.8;588__;0,000000;0,044000;2015-06-04
26437153;588_830L_1.8;588__;0,000000;0,329000;2015-06-04
26433766;950_909V_16.9;950_a;0,000000;0,292000;2015-06-04
26439197;617_1199BV_40.4;617_a;0,000000;0,060000;2015-06-04
26445949;506_43R_43.2;506_b;0,000000;0,072000;2015-06-04
26438760;506_141BpV_44.1;506_b;0,000000;0,034000;2015-06-04
26435562;817_943V_114.3;817_a;0,000000;0,041000;2015-06-04
26441245;209_1L_19.0;209__;0,000000;0,112000;2015-06-04
26445429;801_930L_301.2;801_d;0,000000;0,685000;2015-06-04
26434268;920_3135L_100.8;920__;0,016000;0,089000;2015-06-04
26444401;527_67BpV_17.0;527_c;0,000000;0,032000;2015-06-04
26437092;009_9R_114.2;009__;0,000000;0,519000;2015-06-04
26439112;469_331L_601.5;469_g;0,000000;0,426000;2015-06-04
26434329;520_151AL_0.8;520_a;0,000000;0,481000;2015-06-04
26431592;520_1007R_1.0;520_a;0,000000;0,035000;2015-06-04
26432073;555_305AL_83.8;555__;0,000000;0,065000;2015-06-04
26442326;115_151AL_23.5;115_a;0,000000;0,060000;2015-06-04
26431929;098_3909V_29.6;098__;0,000000;0,308000;2015-06-04
26445173;607_906L_44.0;607_b;0,000000;0,042000;2015-06-04
26438448;155_4455V_88.3;155_d;0,000000;0,024000;2015-06-04
26446113;519_87BV_47.0;519_a;0,000000;0,049000;2015-06-04
26442840;006_1017AL_10.1;006__;0,000000;0,102000;2015-06-04
26431234;610_147AR_14.3;610__;0,000000;0,044000;2015-06-04
26436214;032_365V_16.5;032__;0,000000;0,093000;2015-06-04
26439253;552_227AR_82.5;552_b;0,000000;0,761000;2015-06-04
26434163;585_1209R_9.6;585__;0,000000;0,103000;2015-06-04
26441926;586_277AR_81.2;586__;0,000000;0,055000;2015-06-04
26433619;935_205AR_18.9;935__;0,000000;0,326000;2015-06-04
26433972;128_61AL_13.2;128__;0,000000;0,112000;2015-06-04
26442690;548_373BV_86.5;548__;0,000000;0,030000;2015-06-04
26437388;950_271R_13.2;950_a;0,000000;0,118000;2015-06-04
26436327;133_1087BV_15.1;133__;0,000000;3,066000;2015-06-04
26438586;751_335L_33.8;751__;0,000000;0,254000;2015-06-04
26443151;135_225AL_14.7;135__;0,000000;0,059000;2015-06-04
26440896;073_903L_1.0;073__;0,000000;0,150000;2015-06-04
26440545;823_6R_100.6;823_b;0,000000;0,387000;2015-06-04
26435979;476_61L_201.6;476_b;0,000000;0,464000;2015-06-04
26437448;654_981R_49.6;654__;0,000000;0,112000;2015-06-04
26435178;506_25AR_43.0;506_b;0,000000;0,902000;2015-06-04
26436502;469_52L_401.3;469_f;0,234000;0,381000;2015-06-04
26437115;927_936L_906.0;927__;0,000000;0,233000;2015-06-04
26431087;127_445AV_67.7;127_a;0,000000;6,070000;2015-06-04
26437194;927_3325BqV_904.8;927__;0,000000;0,034000;2015-06-04
26437834;950_111L_6.9;950_a;0,000000;0,809000;2015-06-04
26431923;539_47AL_79.2;540_d;1,551000;2,022000;2015-06-04
26445476;506_227AL_45.1;506_b;0,000000;0,136000;2015-06-04
26433205;079_169BV_14.3;079__;0,000000;0,033000;2015-06-04
26437980;588_804R_1.6;588__;0,000000;0,052000;2015-06-04
26438171;817_975R_200.3;817_e;0,000000;0,096000;2015-06-04
26445674;506_636BL_44.2;506_b;0,000000;0,051000;2015-06-04
26433867;614_2105R_47.3;614_c;0,000000;0,167000;2015-06-04
26445053;089_295AL_46.4;089__;0,000000;0,213000;2015-06-04
26442239;555_377R_84.3;555__;0,000000;0,024000;2015-06-04
26433788;603_69AR_2.4;603_a;0,000000;0,094000;2015-06-04
26441845;950_67L_40.8;950_a;0,000000;0,804000;2015-06-04
26441712;468_58R_100.9;468_a;0,000000;0,087000;2015-06-04
26436460;544_1119AV_1.0;544_a;0,000000;0,042000;2015-06-04
26442761;020_3AV_60.2;089__;13,587000;13,800000;2015-06-04
26433079;586_149AL_80.8;586__;0,000000;0,036000;2015-06-04
26433689;039_5111L_107.7;039__;0,000000;0,055000;2015-06-04
26436899;927_3321R_904.4;927__;0,000000;0,041000;2015-06-04
26439647;133_1177BpV_20.0;133__;0,000000;0,034000;2015-06-04
26441419;950_479AV_8.0;950_a;0,000000;0,707000;2015-06-04
26432857;950_19R_6.5;950_a;0,000000;0,612000;2015-06-04
26443274;027_955AR_149.1;027__;0,000000;0,324000;2015-06-04
26443813;116_1355AR_32.7;116__;0,000000;0,106000;2015-06-04
26439639;517_67AL_69.3;517_b;0,000000;0,055000;2015-06-04
26445799;516_923V_2.1;516_a;0,000000;0,058000;2015-06-04
26440281;087_57R_24.2;087__;0,000000;1,645000;2015-06-04
26433971;479_1617V_300.3;479_a;0,000000;0,314000;2015-06-04
