ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG;BEGRENZERNAAM_BEGIN;BEGRENZERNAAM_EIND;BEGRENZERTYPE_BEGIN;BEGRENZERTYPE_EIND
161679652;617_1253AL_42.2;w1253Al-w1255l;S;0,099;0,242;2019-06-13;;;1253A;1255;WISSEL;WISSEL
161679653;924_3597BL_35.9;w3597Bl-w3599Ar;S;0,029;0,036;2019-06-13;;;3597B;3599A;WISSEL;WISSEL
161679654;531_2587L_34.6;w2587/2585v-w2593r;S;0,017;0,028;2019-06-13;;;2587/2585;2593;WISSEL;WISSEL
161679655;519_23AL_46.0;s304a-w53Av;S;0,300;0,311;2019-06-13;;;54;53A;BED_SEIN;WISSEL
161679656;519_23AL_46.0;w23Al-s304a;S;0,027;0,064;2019-06-13;;;23A;34;WISSEL;BED_SEIN
161679657;144_1509V_151.7;s607-w3257r;S;2,813;2,904;2019-06-13;;;3258;3257;BED_SEIN;WISSEL
161679658;144_1509V_151.7;sZA1-s607;S;2,336;2,413;2019-06-13;;;3226;3238;BED_SEIN;BED_SEIN
161679659;470_961L_400.2;w961l-w963v;S;0,029;0,033;2019-06-13;;;961;963;WISSEL;WISSEL
161679660;206_143R_29.8;s631b-w159l;S;1,840;2,173;2019-06-13;;;158;159;BED_SEIN;WISSEL
161678552;553_247BV_21.6;s102a-w275Av;S;0,188;0,202;2019-06-13;;;274;275A;BED_SEIN;WISSEL
161678553;553_247BV_21.6;w247Bv-s102a;S;0,000;0,014;2019-06-13;;;247B;234;WISSEL;BED_SEIN
161678554;545_81BR_22.4;w91A/81Bv-w83A/75Bv;S;0,017;0,024;2019-06-13;;;91A/81B;83A/75B;WISSEL;WISSEL
161678555;203_403V_55.6;w403v-w407l;S;0,000;0,158;2019-06-13;;;403;407;WISSEL;WISSEL
161678556;504_59AL_18.2;w59A/51Bv-w65A/61Bv;S;0,016;0,025;2019-06-13;;;59A/51B;65A/61B;WISSEL;WISSEL
161678936;135_2207R_14.8;w2207r-s904;S;0,048;0,119;2019-06-13;;;2207;2212;WISSEL;BED_SEIN
161678937;605_21AL_34.0;w21Al-w21Bl;S;0,029;0,031;2019-06-13;;;21A;21B;WISSEL;WISSEL
161678938;609_133L_26.6;w133l-w135Bl;S;0,048;0,055;2019-06-13;;;133;135B;WISSEL;WISSEL
161678940;617_1197BV_40.2;w1197Bv-w1199Av;S;0,000;0,024;2019-06-13;;;1197B;1199A;WISSEL;WISSEL
161678941;664_239V_43.1;w239v-w241r;S;0,000;0,058;2019-06-13;;;239;241;WISSEL;WISSEL
161678942;073_1139V_3.5;sHF-w1153v;S;8,316;8,384;2019-06-13;;;1152;1153;BED_SEIN;WISSEL
161678943;073_1139V_3.5;w1139v-sHF;S;0,000;0,244;2019-06-13;;;1139;1142;WISSEL;BED_SEIN
161678944;478_841L_0.6;s854-w1139l;S;0,108;0,142;2019-06-13;;;1138;1139;BED_SEIN;WISSEL
161678945;478_841L_0.6;w841l-s854;S;0,029;0,056;2019-06-13;;;841;1139;WISSEL;STOP_BD
161678946;536_245AL_60.7;w245A/243Bv-w245Bl;S;0,016;0,025;2019-06-13;;;245A/243B;245B;WISSEL;WISSEL
161678947;940_395R_43.3;w395r-w397v;S;0,029;0,058;2019-06-13;;;395;397;WISSEL;WISSEL
161678948;506_571BL_43.7;w571B/571Av-w574v;S;0,016;0,018;2019-06-13;;;571B/571A;574;WISSEL;WISSEL
161678863;132_942V_49.1;w942v-w948l;S;0,000;0,004;2019-06-13;;;942;948;WISSEL;WISSEL
161678864;524_253AR_70.3;w253Ar-w253Br;S;0,047;0,071;2019-06-13;;;253A;253B;WISSEL;WISSEL
161678865;950_403BL_205.8;sRA-w3047r;S;2,410;2,604;2019-06-13;;;3046;3047;BED_SEIN;WISSEL
161678866;950_403BL_205.8;w403Bl-sRA;S;0,039;0,100;2019-06-13;;;403B;404;WISSEL;BED_SEIN
161678867;486_958R_74.9;w958r-w959v;S;0,026;0,042;2019-06-13;;;958;959;WISSEL;WISSEL
161678868;543_213AL_46.2;w213A/211Bv-w213Bl;S;0,016;0,019;2019-06-13;;;213A/211B;213B;WISSEL;WISSEL
