SPOORTAK_IDENTIFICATIE;TRAJECT;TRJ_VAN;TRJ_NAAR;SPOORLIJNNAAM;N_SP_VAN;N_SP_NAAR;RICHTING_IN_SPOORLIJN;SPOORLIJN_VAN;SPOORLIJN_TOT;SPOORTAK_VAN;SPOORTAK_TOT;BEGIN_TRJ;EIND_TRJ;BEGIN_WISSEL_TRJ
950_950V_29.3;;;;;;;;;;;;;;
586_367BV_81.2;;;;;;;;;;;;;;
079_161AL_15.2;;;;;;;;;;;;;;
490_106L_105.0;;;;;;;;;;;;;;
524_303AL_71.5;;;;;;;;;;;;;;
047_31qV_41.9;;;;;;;;;;;;;;
823_6L_100.6;;;;;;;;;;;;;;
127_471R_73.5;;;;;;;;;;;;;;
624_201V_32.5;;;;;;;;;;;;;;
504_901L_17.3;;;;;;;;;;;;;;
514_75R_17.4;;;;;;;;;;;;;;
529_3643L_22.9;;;;;;;;;;;;;;
801_910R_102.4;;;;;;;;;;;;;;
564_971L_23.7;;;;;;;;;;;;;;
626_39R_32.7;;;;;;;;;;;;;;
608_27AR_87.7;;;;;;;;;;;;;;
514_911R_18.1;;;;;;;;;;;;;;
553_233qV_21.4;;;;;;;;;;;;;;
801_952R_8.0;;;;;;;;;;;;;;
586_287AR_81.3;;;;;;;;;;;;;;
504_85AR_18.7;;;;;;;;;;;;;;
517_159L_69.9;;;;;;;;;;;;;;
506_95BqV_44.0;;;;;;;;;;;;;;
626_913L_32.7;;;;;;;;;;;;;;
614_2157V_47.9;;;;;;;;;;;;;;
506_195AR_44.5;;;;;;;;;;;;;;
531_873L_1.6;;;;;;;;;;;;;;
586_379AL_81.4;;;;;;;;;;;;;;
522_201AR_57.9;;;;;;;;;;;;;;
522_203BpV_58.1;;;;;;;;;;;;;;
614_2105L_47.3;;;;;;;;;;;;;;
543_191BV_45.4;;;;;;;;;;;;;;
485_40R_100.9;;;;;;;;;;;;;;
551_103AL_21.6;;;;;;;;;;;;;;
924_355ApV_36.2;;;;;;;;;;;;;;
539_53AL_79.1;;;;;;;;;;;;;;
116_1363L_32.8;;;;;;;;;;;;;;
614_401AL_48.6;;;;;;;;;;;;;;
437_961R_0.6;;;;;;;;;;;;;;
468_218V_102.2;;;;;;;;;;;;;;
163_253AR_43.4;;;;;;;;;;;;;;
555_247L_83.6;;;;;;;;;;;;;;
478_1605V_2.2;;;;;;;;;;;;;;
011_805L_68.2;;;;;;;;;;;;;;
501_25L_80.1;;;;;;;;;;;;;;
625_303qV_14.6;;;;;;;;;;;;;;
603_902R_4.1;;;;;;;;;;;;;;
618_137BV_50.8;;;;;;;;;;;;;;
