ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
284;087_47AR_22.8;Clipped Tuned, type Corus 54E1;0,026;0,152;22-6-2015
285;087_47AR_22.8;Clipped Tuned, type Corus 54E1;0,185;0,51;22-6-2015
286;087_47AR_22.8;Clipped Tuned, type Corus 54E1;0,552;1,12;22-6-2015
287;087_47BV_22.8;Clipped Tuned, type Corus 54E1;0;1,06;22-6-2015
288;105_113V_24.5;Clipped Tuned, type Corus 54E1;0,377;0,432;22-6-2015
289;117_1847R_6.3;Clipped Tuned, type Corus 54E1;0,318;0,985;22-6-2015
290;117_1847R_6.3;Clipped Tuned, type Corus 54E1;1,2;2,52;22-6-2015
291;163_165AR_43.6;Schrey & Veit, VICON-AMSA 5RQ;0,03;0,24;22-6-2015
292;163_919BV_43.6;Schrey & Veit, VICON-AMSA 5RQ;0;0,68;22-6-2015
293;163_923AL_43.5;Schrey & Veit, VICON-AMSA 5RQ;0,034;0,436;22-6-2015
294;163_951BV_44.0;Schrey & Veit, VICON-AMSA 5RQ;0;0,407;22-6-2015
295;163_963AL_44.5;Schrey & Veit, VICON-AMSA 5RQ;0,044;0,263;22-6-2015
296;163_965V_44.4;Schrey & Veit, VICON-AMSA 5RQ;0,003;0,186;22-6-2015
297;163_967V_44.4;Schrey & Veit, VICON-AMSA 5RQ;0,01;0,264;22-6-2015
298;163_969V_44.4;Schrey & Veit, VICON-AMSA 5RQ;0;0,263;22-6-2015
299;163_971R_44.6;Schrey & Veit, VICON-AMSA 5RQ;0,054;0,094;22-6-2015
300;163_971R_44.6;Schrey & Veit, VICON-AMSA 5RQ;0,139;0,172;22-6-2015
301;163_977R_44.8;Schrey & Veit, VICON-AMSA 5RQ;0;0,133;22-6-2015
302;528_3AR_27.9;Clipped Tuned, type Corus 54E1;0,08;0,093;22-6-2015
303;533_1113AL_15.3;Clipped Tuned, type Corus 54E1;0,592;0,975;22-6-2015
304;533_1117AR_15.3;Clipped Tuned, type Corus 54E1;0,592;0,97;22-6-2015
305;551_143AL_22.7;Clipped Tuned, type Corus 54E1;0,34;0,41;22-6-2015
306;551_143AL_22.7;Schrey & Veit, VICON-AMSA 54VS;0,411;0,539;22-6-2015
307;551_143AL_22.7;Clipped Tuned, type Corus 54E1;0,539;0,591;22-6-2015
308;551_145BV_22.9;Clipped Tuned, type Corus 54E1;0;0,268;22-6-2015
309;555_379V_84.4;Schrey & Veit, VICON-AMSA 5RQ;3,369;3,924;22-6-2015
310;555_381V_84.4;Schrey & Veit, VICON-AMSA 5RQ;3,38;3,732;22-6-2015
311;555_381V_84.4;Schrey & Veit, VICON-AMSA 5RQ;3,75;3,831;22-6-2015
312;555_381V_84.4;Schrey & Veit, VICON-AMSA 5RQ;3,85;3,972;22-6-2015
313;561_89BV_59.6;Clipped Tuned, type Corus 54E1;0,378;0,563;22-6-2015
314;561_97BV_59.6;Clipped Tuned, type Corus 54E1;0,386;0,545;22-6-2015
315;563_187AL_57.4;Clipped Tuned, type Corus 54E1;1,703;1,875;22-6-2015
316;563_189R_57.4;Clipped Tuned, type Corus 54E1;1,714;1,884;22-6-2015
317;589_969L_149.5;Schrey & Veit, VICON-AMSA 54VS;0,057;0,597;22-6-2015
318;589_971AL_149.5;Schrey & Veit, VICON-AMSA 5RQ;0,051;0,586;22-6-2015
319;589_971BV_149.6;Schrey & Veit, VICON-AMSA 5RQ;0;0,483;22-6-2015
320;603_179AL_3.9;Clipped Tuned, type Corus 54E1;0,352;0,404;22-6-2015
321;604_13AR_47.5;Schrey & Veit, VICON-AMSA 5RQ;0,208;0,637;22-6-2015
322;604_13BV_47.6;Schrey & Veit, VICON-AMSA 5RQ;0,143;0,584;22-6-2015
323;605_3AL_33.4;Schrey & Veit, VICON-AMSA 5RQ;0,098;0,372;22-6-2015
324;605_3BV_33.5;Schrey & Veit, VICON-AMSA 5RQ;0,034;0,458;22-6-2015
325;614_2123V_47.5;Schrey & Veit, VICON-AMSA 5RQ;0,038;0,3;22-6-2015
326;664_143AR_43.1;Schrey & Veit, VICON-AMSA 5RQ;0,03;0,43;22-6-2015
327;664_873BV_41.9;Clipped Tuned, type Corus 54E1;0,04;0,316;22-6-2015
328;664_873BV_41.9;Schrey & Veit, VICON-AMSA 5RQ;0,317;0,764;22-6-2015
329;664_893AL_42.6;Schrey & Veit, VICON-AMSA 5RQ;0,053;0,095;22-6-2015
330;664_895BV_42.8;Schrey & Veit, VICON-AMSA 5RQ;0;0,117;22-6-2015
331;664_897BL_42.9;Schrey & Veit, VICON-AMSA 5RQ;0,05;0,75;22-6-2015
332;664_897BV_42.9;Schrey & Veit, VICON-AMSA 5RQ;0;0,31;22-6-2015
333;664_901BV_43.0;Schrey & Veit, VICON-AMSA 5RQ;0,005;0,137;22-6-2015
334;664_901BV_43.0;Schrey & Veit, VICON-AMSA 5RQ;0,155;0,165;22-6-2015
335;664_907AR_43.2;Schrey & Veit, VICON-AMSA 5RQ;0,047;0,365;22-6-2015
336;664_917AR_43.2;Schrey & Veit, VICON-AMSA 5RQ;0,095;0,29;22-6-2015
337;950_475AR_8.2;Clipped Tuned, type Corus 54E1;0,74;1,645;22-6-2015
338;950_475BV_8.3;Clipped Tuned, type Corus 54E1;0,64;1,54;22-6-2015
