ID;SPOORTAK_IDENTIFICATIE;DOELGROEP;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;LOKALE_SNELHEID;DATUM_VERWERKING
149325108;012_325AL_20.1;T;0,000;0,258;80;2018-11-28
149325109;012_325AL_20.1;T;0,258;0,494;140;2018-11-28
149325110;012_325AL_20.1;T;0,494;4,033;140;2018-11-28
149325111;012_325AR_20.1;T;0,000;0,073;40;2018-11-28
149325112;012_325BV_20.2;T;0,000;0,025;80;2018-11-28
149325113;012_325BV_20.2;T;0,025;0,241;140;2018-11-28
149324513;501_935R_80.5;T;0,000;0,138;40;2018-11-28
149324514;501_935V_80.5;T;0,000;0,033;40;2018-11-28
149324515;550_936V_25.8;T;0,000;0,087;40;2018-11-28
149324516;501_936R_80.5;T;0,000;0,254;40;2018-11-28
149324517;501_936V_80.5;T;0,000;0,027;40;2018-11-28
149324518;550_937L_25.9;T;0,000;0,065;40;2018-11-28
149324270;550_93AL_25.8;T;0,000;0,056;40;2018-11-28
149324892;161_2677V_31.9;T;0,000;0,069;200;2018-11-28
149324893;161_2677V_31.9;T;0,069;1,199;160;2018-11-28
149324894;161_2677V_31.9;T;1,199;1,849;140;2018-11-28
149325077;012_301AL_8.3;T;0,000;0,134;80;2018-11-28
149325078;012_301AR_8.3;T;0,000;0,284;140;2018-11-28
149325079;011_301AL_70.0;T;0,000;0,060;40;2018-11-28
149325080;011_301AR_70.0;T;0,000;2,511;130;2018-11-28
149325081;011_301AR_70.0;T;2,511;2,613;130;2018-11-28
149325082;012_301BV_8.4;T;0,000;0,018;140;2018-11-28
149325083;011_301BV_69.9;T;0,000;0,026;40;2018-11-28
149325084;011_303L_69.9;T;0,000;0,027;40;2018-11-28
149325085;011_303R_69.9;T;0,000;0,103;40;2018-11-28
149324512;501_935L_80.5;T;0,000;0,247;40;2018-11-28
149324905;161_2707V_35.5;T;0,000;7,750;140;2018-11-28
