VERKANTING_ID;VERK_LRS_VAN;VERK_LRS_TOT;SEGMENT_IDENTIFICATIE;SEGMENT_LRS_VAN;SEGMENT_LRS_TOT;DATUM_PUBLICATIE;DATUM_GOEDGEKEURD;ELEMENTTYPE;VERKANTING_VAN;VERKANTING_TOT;OVERGANGSHELLING;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
517#w33R-w47V#69.037569;0;2504;fcc97024-f3ba-9116-a750-ac0a073fd2c4;34064;36568;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#w33R-w47V#69.078370;0;78893;fcc97024-f3ba-9116-a750-ac0a073fd2c4;36568;115461;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#52#69.289355;0;109715;b73a88bf-9c82-58f8-9244-3c28fe664a11;4500;114215;20211029;20150917;Constant;0;0;0.0;20211201;C;18
517#w99AL-w99BL#69.474340;0;130;7c8cc4a7-1aa5-a9e2-5e1c-77bf59ca442d;36469;36599;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#w99AL-w99BL#69.495579;0;42316;7c8cc4a7-1aa5-a9e2-5e1c-77bf59ca442d;36599;78915;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#w99AL-w99BL#69.518302;0;3094;7c8cc4a7-1aa5-a9e2-5e1c-77bf59ca442d;78915;82009;20211029;20191019;Constant;0;0;0.0;20211201;C;18
517#w87/89AP-w95BL#69.441907;0;1232;827440ae-3411-b1d3-f273-4af4d17484d3;23010;24242;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#w87/89AP-w95BL#69.477282;0;70706;827440ae-3411-b1d3-f273-4af4d17484d3;24242;94948;20211029;20191019;Constant;0;0;0.0;20211201;C;18
517#w99AR-SJ_99AR#69.474501;0;43;812d61c2-7b13-96f3-ea46-627d391969cc;36491;36534;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#55#69.525315;0;99441;812d61c2-7b13-96f3-ea46-627d391969cc;36534;135975;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#SJ_31BL-w31BL#68.971492;0;2398;dd865a6e-08ae-bff1-93c8-c706e471618d;34088;36486;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#42#68.916242;0;99374;dd865a6e-08ae-bff1-93c8-c706e471618d;36486;135860;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#48#69.399312;0;445;c1777b7c-2b76-ecf0-faf6-1889bf4b4f5c;34064;34509;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#48#69.447124;0;95768;c1777b7c-2b76-ecf0-faf6-1889bf4b4f5c;34509;130277;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#w201AL-w203L#0.105850;0;310;f92f325f-ae0b-409e-21b4-d8399d04f341;36496;36806;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#w201AL-w203L#0.120235;0;28990;f92f325f-ae0b-409e-21b4-d8399d04f341;36806;65796;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#w201AL-w203L#0.134742;0;559;f92f325f-ae0b-409e-21b4-d8399d04f341;65796;66355;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#w183/199AP-w199BR#0.083412;0;78;8a314698-444f-4610-f490-88570d5abfec;25991;26069;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#w183/199AP-w199BR#0.097034;0;26026;8a314698-444f-4610-f490-88570d5abfec;26069;52095;20211029;20191018;Constant;0;0;0.0;20211201;C;18
517#w183/199AP-w199BR#0.110699;0;159;8a314698-444f-4610-f490-88570d5abfec;52095;52254;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#w203V-w209BR#0.215125;0;33531;1257a589-8362-3730-4ef2-f98fcdb9593d;3901;37432;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#w203V-w209BR#0.231462;0;205;1257a589-8362-3730-4ef2-f98fcdb9593d;37432;37637;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#85#0.181118;0;61561;b9639fa3-4d1a-13f8-91d6-937d08262284;25990;87551;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#w157BV-SJ_157BV#0.005450;0;819;542ef7a9-268f-9ca2-df0a-52e34b70af3e;4500;5319;20211029;20150917;Constant;0;0;0.0;20211201;C;18
517#w157BV-SJ_157BV#0.008296;0;4406;542ef7a9-268f-9ca2-df0a-52e34b70af3e;5319;9725;20211029;20150917;Constant;0;0;0.0;20211201;C;18
517#w157BV-SJ_157BV#0.024296;0;24973;542ef7a9-268f-9ca2-df0a-52e34b70af3e;9725;34698;20211029;20150917;Helling;0;-25;-1.0;20211201;C;18
517#62#0.053818;0;29232;542ef7a9-268f-9ca2-df0a-52e34b70af3e;34698;63930;20211029;20150917;Constant;-25;-25;0.0;20211201;C;18
517#62#0.080619;0;19978;542ef7a9-268f-9ca2-df0a-52e34b70af3e;63930;83908;20211029;20150917;Helling;-25;0;1.25;20211201;C;18
517#62#0.097013;0;10124;542ef7a9-268f-9ca2-df0a-52e34b70af3e;83908;94032;20211029;20150917;Constant;0;0;0.0;20211201;C;18
517#w227AR-w231V#0.374463;0;158;8f12081f-6dee-cd23-8cad-0dce8a4dcc02;49804;49962;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#w227AR-w231V#0.397610;0;45823;8f12081f-6dee-cd23-8cad-0dce8a4dcc02;49962;95785;20211029;20210520;Constant;0;0;0.0;20211201;C;18
517#w165V-w177R#0.189362;0;28512;eb7e50b7-0a33-51de-5100-b23e2bcf9820;3900;32412;20211029;20210601;Constant;0;0;0.0;20211201;C;18
517#w165V-w177R#0.201284;0;196;eb7e50b7-0a33-51de-5100-b23e2bcf9820;32412;32608;20211029;20210601;Constant;0;0;0.0;20211201;C;18
517#w933A/933BQ-w87/89AQ#69.396135;0;1626;dcb547e9-af65-bbc5-4fc6-03b9a53cd6ae;23012;24638;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#w933A/933BQ-w87/89AQ#69.381039;0;29748;dcb547e9-af65-bbc5-4fc6-03b9a53cd6ae;24638;54386;20211029;20150917;Constant;0;0;0.0;20211201;C;18
517#w933A/933BQ-w87/89AQ#69.366580;0;302;dcb547e9-af65-bbc5-4fc6-03b9a53cd6ae;54386;54688;20211029;20150917;Constant;0;0;0.0;20211201;C;18
517#w141AL-w143BR#69.789866;0;211;21aad4db-779a-0534-8b4b-f705d476f8e1;34065;34276;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#w141AL-w143BR#69.793568;0;7227;21aad4db-779a-0534-8b4b-f705d476f8e1;34276;41503;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#w141AL-w143BR#69.797269;0;212;21aad4db-779a-0534-8b4b-f705d476f8e1;41503;41715;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#w31BV-w41BR#69.028799;0;35525;deba324a-e196-d09c-3b8d-6d3a27b7ada6;4500;40025;20211029;20150914;Constant;0;0;0.0;20211201;C;18
517#w31BV-w41BR#69.046493;0;8;deba324a-e196-d09c-3b8d-6d3a27b7ada6;40025;40033;20211029;20150914;Constant;0;0;0.0;20211201;C;18
517#w31AL-w33V#68.984823;0;623;128fe35a-fe7c-fdcf-3766-f74db8e670d6;34088;34711;20211029;20201224;Constant;0;0;0.0;20211201;C;18
517#w31AL-w33V#68.991414;0;12683;128fe35a-fe7c-fdcf-3766-f74db8e670d6;34711;47394;20211029;20201224;Constant;0;0;0.0;20211201;C;18
517#w83L-w99AV#69.414353;0;2052;f74dbc52-3d3b-83f0-4f40-e8f6c47c827b;34089;36141;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#w83L-w99AV#69.425039;0;19749;f74dbc52-3d3b-83f0-4f40-e8f6c47c827b;36141;55890;20211029;20191019;Constant;0;0;0.0;20211201;C;18
517#w45BV-w111V#69.271670;0;33000;79b36fab-b9b4-b23a-48ca-fbd43effdf7d;4500;37500;20211029;20190626;Constant;0;0;0.0;20211201;C;18
517#w179V-w223/225AS#0.271311;0;15344;a1041e7e-9b59-6d69-e59e-5153f2f3c0f7;4500;19844;20211029;20210601;Constant;0;0;0.0;20211201;C;18
517#w179V-w223/225AS#0.278767;0;477;a1041e7e-9b59-6d69-e59e-5153f2f3c0f7;19844;20321;20211029;20210607;Constant;0;0;0.0;20211201;C;18
517#w221BV-w225BL#0.315153;0;475;a4587342-b9c7-a556-a4e8-ad55f1c97dda;3900;4375;20211029;20151006;Constant;0;0;0.0;20211201;C;18
