NAAM_ID;NAAM_LRS_VAN;NAAM_LRS_TOT;SEGMENT_IDENTIFICATIE;SEGMENT_LRS_VAN;SEGMENT_LRS_TOT;OBJECT_NAAM;BEGRENZERNAAM_BEGIN;BEGRENZERNAAM_EIND;BEGRENZERTYPE_BEGIN;BEGRENZERTYPE_EIND;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
525#w965V-w961A/961BP#78.570694;0;3058;82cc7576-7c54-9a55-8b68-05a6511fb4bc;29048;25990;w965V-w961A/961BP;965;961A/961B;WISSEL_GW;WISSEL_EW;20220614;C;19
545#65a#22.590145;0;105711;c88daa03-b6ab-a763-0267-c9e3066fcb6f;4499;110210;65a;937;960A/960B;WISSEL_GW;WISSEL_EW;20220614;C;19
087#w1345V-SJ_1345V#25.751524;0;600941;21111a5d-f1ec-a810-4e54-9e7e68df9baf;4500;605441;w1345V-SJ_1345V;1345;SJ_1345V;WISSEL_GW;STOOTJUK;20220614;C;19
478#821#1.285259;0;773592;cce18504-9d0b-932a-c999-eca4b144ad0f;36493;810085;821;1504;1570;Lichtsein;Lichtsein;20220614;C;19
478#s821-w1569L#1.700447;0;56118;cce18504-9d0b-932a-c999-eca4b144ad0f;810085;866203;s821-w1569L;1570;1569;Lichtsein;WISSEL_GW;20220614;C;19
553#w215B/217AP-w231BR#21.271585;0;29044;ee327673-534a-513f-fa5b-303eb29c60d7;25989;55033;w215B/217AP-w231BR;215B/217A;231B;WISSEL_EW;WISSEL_GW;20220614;C;19
131#1#17.025627;0;579648;6036b72c-f475-20f4-68a7-b1a886322cb6;34065;613713;1;5;16;WISSEL_GW;WISSEL_GW;20220614;C;19
586#w367A/383BQ-wK361T#81.140670;0;7786;cae2564e-fdbf-d3cf-950a-5e303abd870c;23010;30796;w367A/383BQ-wK361T;367A/383B;K361;WISSEL_EW;KRUISING;20220614;C;19
613#w171AL-w179V#75.152939;0;75616;e490a1e5-7304-ba32-63b0-979b05f6ca92;38575;114191;w171AL-w179V;171A;179;WISSEL_GW;WISSEL_GW;20220614;C;19
586#w277A/385BQ-w275BL#81.234234;0;31594;615d7246-e648-2275-0246-6b5b1a508bf2;65659;34065;w277A/385BQ-w275BL;277A/385B;275B;WISSEL_EW;WISSEL_GW;20220614;C;19
526#w491R-w497L#104.235851;0;106892;f84b7efc-669e-eff7-a9c4-047119f8fea2;61135;168027;w491R-w497L;491;497;WISSEL_GW;WISSEL_GW;20220614;C;19
485#7110#100.455532;0;195072;5b3cf43a-ffaf-b442-cc88-32e2aaa6429f;36469;231541;7110;3;5;WISSEL_GW;WISSEL_GW;20220614;C;19
564#25#23.879329;0;44543;2d3d32d5-db6e-128f-0fef-22a9b5feb4b5;36493;81036;25;;SJ_1369L;Bordsein;STOOTJUK;20220614;C;19
587#GB#7.967754;0;265113;c68aedca-8a37-4dc4-4e08-a0d79ef699d6;3900;269013;GB;1183;1187;WISSEL_GW;WISSEL_GW;20220614;C;19
002#w345BV-w347AV#50.579003;0;17394;9142c098-a531-0d50-cdd3-ad4a5c8beaba;4500;21894;w345BV-w347AV;345B;347A;WISSEL_GW;WISSEL_GW;20220614;C;19
536#w245BV-w251AV#60.857484;0;211314;d0349963-9e56-044b-a5c0-2e908acf70be;4500;215814;w245BV-w251AV;245B;251A;WISSEL_GW;WISSEL_GW;20220614;C;19
564#w219AL-SJ_219AL#100.630628;0;26026;c711507f-5ffc-7e64-ab7f-556555010924;36470;62496;w219AL-SJ_219AL;219A;SJ_219AL;WISSEL_GW;STOOTJUK;20220614;C;19
531#w2619R-w2661V#34.734508;0;226154;10376f09-deba-af99-1b5c-b595a238d9e4;36470;262624;w2619R-w2661V;2619;2661;WISSEL_GW;WISSEL_GW;20220614;C;19
503#14#42.647481;0;370797;207d2d93-9dad-4165-30cf-357654907fab;34088;404885;14;909;922;WISSEL_GW;WISSEL_GW;20220614;C;19
926#w4047V-w4051L#0.915145;0;2605;d3d02045-b35c-9051-e4f2-ad33940b5909;3900;6505;w4047V-w4051L;4047;4051;WISSEL_GW;WISSEL_GW;20220614;C;19
506#w253AL-s104#45.433875;0;130806;ed0155a1-f7e1-d4c6-15d6-0ab9a6c3629f;47021;177827;w253AL-s104;253A;270;WISSEL_GW;Lichtsein;20220614;C;19
620#w903V-w901R#41.927143;0;54552;1ee66cc7-204b-ae88-e47c-87b201ef04e8;90625;36073;w903V-w901R;903;901;WISSEL_GW;WISSEL_GW;20220614;C;19
073#w1105BV-w1111L#1.084392;0;68709;f2d27d1f-1ccc-0d6b-57d6-30b94dab68d5;3899;72608;w1105BV-w1111L;1105B;1111;WISSEL_GW;WISSEL_GW;20220614;C;19
950#w656V-w658L#7.241288;0;1324;43e21b60-2fdb-9da7-c994-7390c1ce1eff;4500;5824;w656V-w658L;656;658;WISSEL_GW;WISSEL_GW;20220614;C;19
161#w2517V-w2521V#20.379649;0;18827;3855970a-880c-6201-598d-8f06b826b03e;3900;22727;w2517V-w2521V;2517;2521;WISSEL_GW;WISSEL_GW;20220614;C;19
124#w201R-w207L#3.634011;0;60638;6cbeb28a-d83b-829a-5bc6-d7bde252c965;36470;97108;w201R-w207L;201;207;WISSEL_GW;WISSEL_GW;20220614;C;19
210#VR#16.554997;0;9096094;1eec77e5-fe96-601c-359f-c06728203083;3900;9099994;VR;11;25;WISSEL_GW;WISSEL_GW;20220614;C;19
506#32#43.639509;0;276560;f524d01d-d1f2-17e1-a0ed-910e03af2f0b;34088;310648;32;604;610;WISSEL_GW;WISSEL_GW;20220614;C;19
522#w145AR-w149AV#57.307131;0;54851;31821a27-44d4-3ad8-8680-a06c03e92f8e;61146;115997;w145AR-w149AV;145A;149A;WISSEL_GW;WISSEL_GW;20220614;C;19
531#w847L-w849V#1.496503;0;7488;d5e70459-e296-2dde-f0e4-b589d4e8cb0c;36469;43957;w847L-w849V;847;849;WISSEL_GW;WISSEL_GW;20220614;C;19
503#w930R-w177/181AP#42.169404;0;27256;ca226a31-5b5c-dfe6-5abe-4ef23fdc4826;53246;25990;w930R-w177/181AP;930;177/181A;WISSEL_GW;WISSEL_EW;20220614;C;19
046#w251BV-w255AV#41.426125;0;30612;944fc28b-5f59-ecce-3878-b1aa6030ac29;3900;34512;w251BV-w255AV;251B;255A;WISSEL_GW;WISSEL_GW;20220614;C;19
109#w243BL-w241AR#31.042566;0;68975;2ebb45ce-c5c2-2162-b3fd-b153a25fe0ab;105445;36470;w243BL-w241AR;243B;241A;WISSEL_GW;WISSEL_GW;20220614;C;19
524#15#70.398682;0;320717;736dd822-e113-eb7a-b935-3f20cf690671;34088;354805;15;902;SJ_902R;WISSEL_GW;STOOTJUK;20220614;C;19
586#w903R-w905V#80.060831;0;15152;3bb086ec-0492-7608-0774-962b16264b4a;34065;49217;w903R-w905V;903;905;WISSEL_GW;WISSEL_GW;20220614;C;19
035#w155AL-w157BR#60.679949;0;109342;bf40245f-0f42-dad0-81f2-fdae5d6eb37a;61146;170488;w155AL-w157BR;155A;157B;WISSEL_GW;WISSEL_GW;20220614;C;19
545#w911V-w910R#22.042513;0;57768;b7c48e08-e599-ef3a-348f-dabf579b0da9;91855;34087;w911V-w910R;911;910;WISSEL_GW;WISSEL_GW;20220614;C;19
822#7257#102.654332;0;299620;9ae7dda7-0afc-32de-3f4f-dbf4a4061ac4;34064;333684;7257;7207;7211;WISSEL_GW;WISSEL_GW;20220614;C;19
517#21#69.704313;0;494122;2d078dcc-53db-c9a9-fa1b-2c140a4f8e1c;34088;528210;21;123;175;WISSEL_GW;WISSEL_GW;20220614;C;19
485#6103#77.155404;0;268830;32e3c56c-106c-4398-ab25-35e05b13e9a5;4500;273330;6103;15;19;WISSEL_GW;WISSEL_GW;20220614;C;19
485#8715#101.029718;0;162383;2b3bde68-38bd-0fbe-9b4f-95de83048ecb;4499;166882;8715;40;42;WISSEL_GW;WISSEL_GW;20220614;C;19
546#w1031L-w1023BQ#12.942899;0;358401;3f456979-6284-18ba-56aa-e0fff29af662;58128;416529;w1031L-w1023BQ;1031;1023B;WISSEL_GW;KRUISING;20220614;C;19
133#w1103AL-w1107BR#18.342305;0;13810;37138edf-029f-fefc-cd57-82382ebaaf2e;58128;71938;w1103AL-w1107BR;1103A;1107B;WISSEL_GW;WISSEL_GW;20220614;C;19
534#w1111AL-w1113L#46.309179;0;13646;a1086d91-d5b4-610e-ce6b-0f67303a485d;58127;71773;w1111AL-w1113L;1111A;1113;WISSEL_GW;WISSEL_GW;20220614;C;19
587#GM#7.872108;0;457019;6486713b-6033-98db-2f94-206675c4626e;3900;460919;GM;1179;1185;WISSEL_GW;WISSEL_GW;20220614;C;19
503#w87AaQ-w89AR#43.952451;0;19750;91fc4bdb-c60f-7b23-dc4d-25417d9ad475;69555;49805;w87AaQ-w89AR;87Aa;89A;KRUISING;WISSEL_GW;20220614;C;19
618#w111BR-w101AL#51.147586;0;180875;1afe928a-0b82-5dc7-d7e8-54905b4e71f4;214940;34065;w111BR-w101AL;111B;101A;WISSEL_GW;WISSEL_GW;20220614;C;19
128#w23AL-w25AV#12.550116;0;124539;6d2be983-40a3-87c4-e90d-b3f0b7dcfaf7;58128;182667;w23AL-w25AV;23A;25A;WISSEL_GW;WISSEL_GW;20220614;C;19
618#SJ_239P-w237/239S#50.291702;0;318476;4e4b75fd-cdf3-376f-1ab9-1d8de8721b77;344428;25952;SJ_239P-w237/239S;SJ_239P;237/239;STOOTJUK;WISSEL_EW;20220614;C;19
203#s531-w345R#34.508833;0;17521;ba632965-8bed-fdd2-b58d-806a9e922cb6;705520;723041;s531-w345R;340;345;Lichtsein;WISSEL_GW;20220614;C;19
093#w1003BV-w1001AV#6.289428;0;10863;e59a833f-b677-894f-0115-201163094427;15362;4499;w1003BV-w1001AV;1003B;1001A;WISSEL_GW;WISSEL_GW;20220614;C;19
